Bug2 Simulation Log
Scene: 051   Date: 2026-04-15 14:24:59
======================================================================

Family: sparse
Result: SUCCESS  (64 steps)
--------------------------------------------------
  step    0 | (1.6301, 3.2669) | start
  step    1 | (1.6301, 3.2669) | sensed [13]
  step    2 | (1.6985, 3.2516) | goal mode
  step    3 | (1.7668, 3.2364) | goal mode
  step    4 | (1.8351, 3.2212) | goal mode
  step    5 | (1.9034, 3.2059) | goal mode
  step    6 | (1.9717, 3.1907) | goal mode
  step    7 | (2.0401, 3.1755) | goal mode
  step    8 | (2.1084, 3.1602) | goal mode
  step    9 | (2.1767, 3.1450) | goal mode
  step   10 | (2.2450, 3.1298) | goal mode
  step   11 | (2.3134, 3.1145) | goal mode
  step   12 | (2.3817, 3.0993) | goal mode
  step   13 | (2.3817, 3.0993) | sensed [0]
  step   14 | (2.4500, 3.0841) | goal mode
  step   15 | (2.5183, 3.0688) | goal mode
  step   16 | (2.5867, 3.0536) | goal mode
  step   17 | (2.6550, 3.0384) | goal mode
  step   18 | (2.7233, 3.0231) | goal mode
  step   19 | (2.7916, 3.0079) | goal mode
  step   20 | (2.8599, 2.9927) | goal mode
  step   21 | (2.9283, 2.9774) | goal mode
  step   22 | (2.9966, 2.9622) | goal mode
  step   23 | (2.9966, 2.9622) | sensed [14]
  step   24 | (3.0649, 2.9470) | goal mode
  step   25 | (3.1332, 2.9317) | goal mode
  step   26 | (3.2016, 2.9165) | goal mode
  step   27 | (3.2699, 2.9013) | goal mode
  step   28 | (3.3382, 2.8860) | goal mode
  step   29 | (3.4065, 2.8708) | goal mode
  step   30 | (3.4748, 2.8556) | goal mode
  step   31 | (3.5432, 2.8403) | goal mode
  step   32 | (3.5432, 2.8403) | obstacle hit (d=1.67) — boundary mode
  step   33 | (3.6099, 2.8613) | boundary mode
  step   34 | (3.6767, 2.8823) | boundary mode
  step   35 | (3.6767, 2.8823) | sensed [12]
  step   36 | (3.7435, 2.9032) | boundary mode
  step   37 | (3.7435, 2.9032) | m-line crossed (d=1.49 < hit=1.67) — goal mode
  step   38 | (3.7435, 2.9032) | obstacle hit (d=1.49) — boundary mode
  step   39 | (3.8134, 2.9074) | boundary mode
  step   40 | (3.8805, 2.8874) | boundary mode
  step   41 | (3.9476, 2.8674) | boundary mode
  step   42 | (3.9476, 2.8674) | m-line crossed (d=1.29 < hit=1.49) — goal mode
  step   43 | (4.0143, 2.8462) | goal mode
  step   44 | (4.0810, 2.8249) | goal mode
  step   45 | (4.1477, 2.8037) | goal mode
  step   46 | (4.2144, 2.7824) | goal mode
  step   47 | (4.2811, 2.7612) | goal mode
  step   48 | (4.3478, 2.7399) | goal mode
  step   49 | (4.4145, 2.7187) | goal mode
  step   50 | (4.4811, 2.6974) | goal mode
  step   51 | (4.5478, 2.6762) | goal mode
  step   52 | (4.6145, 2.6550) | goal mode
  step   53 | (4.6812, 2.6337) | goal mode
  step   54 | (4.7479, 2.6125) | goal mode
  step   55 | (4.7479, 2.6125) | sensed [8]
  step   56 | (4.8146, 2.5912) | goal mode
  step   57 | (4.8813, 2.5700) | goal mode
  step   58 | (4.8813, 2.5700) | sensed [6]
  step   59 | (4.9480, 2.5487) | goal mode
  step   60 | (5.0147, 2.5275) | goal mode
  step   61 | (5.0814, 2.5062) | goal mode
  step   62 | (5.1481, 2.4850) | goal mode
  step   63 | (5.1744, 2.4766) | goal reached

Family: cluttered
Result: SUCCESS  (94 steps)
--------------------------------------------------
  step    0 | (1.6301, 3.2669) | start
  step    1 | (1.6301, 3.2669) | sensed [13, 27, 37]
  step    2 | (1.6985, 3.2516) | goal mode
  step    3 | (1.7668, 3.2364) | goal mode
  step    4 | (1.8351, 3.2212) | goal mode
  step    5 | (1.9034, 3.2059) | goal mode
  step    6 | (1.9717, 3.1907) | goal mode
  step    7 | (2.0401, 3.1755) | goal mode
  step    8 | (2.1084, 3.1602) | goal mode
  step    9 | (2.1084, 3.1602) | obstacle hit (d=3.14) — boundary mode
  step   10 | (2.1705, 3.1925) | boundary mode
  step   11 | (2.1705, 3.1925) | sensed [30]
  step   12 | (2.1022, 3.2077) | boundary mode
  step   13 | (2.0376, 3.2346) | boundary mode
  step   14 | (1.9729, 3.2615) | boundary mode
  step   15 | (1.9214, 3.3088) | boundary mode
  step   16 | (1.8788, 3.3644) | boundary mode
  step   17 | (1.8466, 3.4265) | boundary mode
  step   18 | (1.8466, 3.4265) | sensed [3]
  step   19 | (1.8256, 3.4933) | boundary mode
  step   20 | (1.8166, 3.5627) | boundary mode
  step   21 | (1.8197, 3.6327) | boundary mode
  step   22 | (1.8197, 3.6327) | sensed [2]
  step   23 | (1.8466, 3.6973) | boundary mode
  step   24 | (1.8734, 3.7619) | boundary mode
  step   25 | (1.9208, 3.8135) | boundary mode
  step   26 | (1.9681, 3.8650) | boundary mode
  step   27 | (2.0303, 3.8973) | boundary mode
  step   28 | (2.0970, 3.9183) | boundary mode
  step   29 | (2.1665, 3.9273) | boundary mode
  step   30 | (2.2364, 3.9242) | boundary mode
  step   31 | (2.2364, 3.9242) | sensed [0]
