environment,seed,planner,factor,factor_level,robot_radius,obstacle_density_scale,obstacle_size_scale,friction_scale,energy_weight,obstacle_count_scale,success,total_path_cost,path_length,time_to_goal,energy_consumption,obstacle_interactions,pushed_obstacles,unique_pushed_obstacles,secondary_obstacle_movements,moved_obstacles,initial_obstacle_count
sparse,11,dstar_lite,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,baseline,baseline,0.25,1.0,1.0,1.0,1.0,1.0,True,25.7002,25.7002,31,25.7002,0,0,0,0,0,11
sparse,11,dstar_lite,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,robot_radius,0.15,0.15,1.0,1.0,1.0,1.0,1.0,True,25.8073,25.8073,31,25.8073,0,0,0,0,0,11
sparse,11,dstar_lite,robot_radius,0.45,0.45,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,robot_radius,0.45,0.45,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,robot_radius,0.45,0.45,1.0,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,robot_radius,0.45,0.45,1.0,1.0,1.0,1.0,1.0,True,26.4032,26.4032,33,26.4032,0,0,0,0,0,11
sparse,11,dstar_lite,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,obstacle_density_scale,0.7,0.25,0.7,1.0,1.0,1.0,1.0,True,25.7002,25.7002,31,25.7002,0,0,0,0,0,11
sparse,11,dstar_lite,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,obstacle_density_scale,1.4,0.25,1.4,1.0,1.0,1.0,1.0,True,25.7002,25.7002,31,25.7002,0,0,0,0,0,11
sparse,11,dstar_lite,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,obstacle_size_scale,0.75,0.25,1.0,0.75,1.0,1.0,1.0,True,25.8073,25.8073,31,25.8073,0,0,0,0,0,11
sparse,11,dstar_lite,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,obstacle_size_scale,1.35,0.25,1.0,1.35,1.0,1.0,1.0,True,26.4032,26.4032,33,26.4032,0,0,0,0,0,11
sparse,11,dstar_lite,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,friction_scale,0.7,0.25,1.0,1.0,0.7,1.0,1.0,True,25.7002,25.7002,31,25.7002,0,0,0,0,0,11
sparse,11,dstar_lite,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug1,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,bug2,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
sparse,11,beacon_human_like,friction_scale,1.3,0.25,1.0,1.0,1.3,1.0,1.0,True,25.7002,25.7002,31,25.7002,0,0,0,0,0,11
sparse,11,dstar_lite,energy_weight,0.5,0.25,1.0,1.0,1.0,0.5,1.0,True,25.4558,25.4558,18,25.4558,0,0,0,0,0,11
