environment,planner,factor,factor_level,trials,success_rate,mean_total_path_cost,mean_path_length,mean_time_to_goal,mean_energy_consumption,mean_obstacle_interactions,mean_pushed_obstacles,mean_unique_pushed_obstacles,mean_secondary_obstacle_movements
chain_reaction,beacon_human_like,baseline,baseline,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,energy_weight,0.5,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,energy_weight,1.5,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,friction_scale,0.7,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,friction_scale,1.3,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,obstacle_count_scale,0.7,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,obstacle_count_scale,1.3,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,obstacle_density_scale,0.7,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,obstacle_density_scale,1.4,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,obstacle_size_scale,0.75,1,1.0,24.6375,24.6375,31.0,24.6375,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,obstacle_size_scale,1.35,1,1.0,24.9889,24.9889,32.0,24.9889,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,robot_radius,0.15,1,1.0,24.6375,24.6375,31.0,24.6375,0.0,0.0,0.0,0.0
chain_reaction,beacon_human_like,robot_radius,0.45,1,1.0,26.1889,26.1889,34.0,26.1889,0.0,0.0,0.0,0.0
